centralize_hre_title;Centralize the Holy Roman Empire;Centraliser le Saint Empire Romain;Zentralisieren Sie das Heilige Römische Reich;Centralizacja Œwiête Cesarstwo Rzymskie;Centralizar el Sacro Imperio Romano;Centralizzare il Sacro Romano Impero;Centralizálja a Szent Római Birodalom;Centralizujte Svatou øímskou øíši;Centralizálja a Szent Római Birodalom;Centraliseren van het Heilige Roomse Rijk;Centralize o Sacro Império Romano;Öåíòğàëèçîâàòü Ñâÿòóş Ğèìñêóş èìïåğèş;Keskitä Pyhän roomalaisen keisarikunnan;x
centralize_hre_desc;As the Holy Roman Emperor, we are prestigious enough to attempt to centralize the Empire under ourselves.;En tant que Saint-Empire romain, nous sommes assez prestigieux pour essayer de centraliser l'Empire sous nous-mêmes.;Als der heilige römische Kaiser sind wir prestigevoll genug, um zu versuchen, das Reich unter uns zu zentralisieren.;Jako cesarz rzymski, jesteœmy na tyle presti¿owa próba scentralizowania Imperium pod siebie.;Como el emperador romano santo, somos bastante prestigiosos para intentar centralizar el imperio debajo de nosotros mismos.;Come Sacro Romano Imperatore, siamo abbastanza prestigiosi per tentare di centralizzare l'Impero in noi stessi.;Mivel a római császár, mi tekintélyes elég próbálja központosítani a Birodalom magunkat.;Jako svatı øímskı císaø jsme dostatecnì prestiní, abychom se pokusili centralizovat Øíši pod sebou.;Mivel a római császár, mi tekintélyes elég próbálja központosítani a Birodalom magunkat.;Zoals het Heilige Roomse keizer, we zijn prestigieus genoeg om te proberen om het rijk te centraliseren onder onszelf.;Como o Santo Imperador Romano, somos suficientemente prestigiados para tentar centralizar o Império sob nós mesmos.;Êàê èìïåğàòîğ Ñâÿùåííîé Ğèìñêîé èìïåğèè, ìû äîñòàòî÷íî ïğåñòèæíû, ÷òîáû ïîïûòàòüñÿ öåíòğàëèçîâàòü Èìïåğèş ïîä ñîáîé.;Koska keisari, olemme arvostettuja tarpeeksi yrittää keskittää Imperiumi alle itse.;x
EVTNAME250001;Centralization of the HRE;Centralisation du Saint Empire romain germanique;Zentralisierung des Heiligen Römischen Reiches;Centralizacja Œwiêtego Cesarstwa Rzymskiego;Centralización del Sacro Imperio Romano;La centralizzazione del Sacro Romano Impero;Központosítása Szent Római Birodalom;Centralizace HRE;Központosítása Szent Római Birodalom;Centralisatie van de Heilige Roomse Rijk;Centralização do Sacro Império Romano;Öåíòğàëèçàöèÿ ÑĞÈ;Keskittäminen Pyhällä roomalaisen keisarikunnan;x
EVTDESC250001;We will join the Thousand Years Reich!;Nous nous joindrons au Reich des Mille Ans!;Wir werden dem Tausendjährigen Reich beitreten!;Bêdziemy do³¹czyæ do tysiêcy lat Rzeszy!;¡Nos uniremos al Reich de los Mil Años!;Ci uniremo al Reich di Mille Anni!;Mi fog csatlakozni a Thousand Years Reich!;Pøipojíme se k tisícileté øíši!;Mi fog csatlakozni a Thousand Years Reich!;We zullen toetreden tot de Thousand Years Reich!;Nós nos juntaremos ao Reich dos Mil Anos!;Ìû ïğèñîåäèíÿåìñÿ ê Òûñÿ÷åëåòíåìó Ğåéõó!;Me liittyy tuhatvuotinen Reich!;x
EVTOPTA250001;God save the Kaiser!;Dieu sauve le Kaiser!;Gott rette den Kaiser!;God save the Kaiser!;¡Dios salve al Kaiser!;Che Dio salvi il Kaiser!;Isten óvja a Kaiser!;Bùh zachránit Kaiser!;Isten óvja a Kaiser!;God save the Kaiser!;Deus salve o Kaiser!;Áîã ñïàñåò êàéçåğà!;Jumala pelastaa Kaiser!;x
EVTNAME250002;Death of the HRE;Mort du Saint Empire Romain;Tod des Heiligen Römischen Reiches;Œmieræ Œwiêtego Cesarstwa Rzymskiego;Muerte del Sacro Imperio Romano;La morte del Sacro Romano Impero;Halál a Szent Római Birodalom;Smrt HRE;Halál a Szent Római Birodalom;De dood van het Heilige Roomse Rijk;Morte do Sacro Império Romano;Ñìåğòü ÑĞÈ;Death Pyhän Rooman valtakunnan;x
EVTDESC250002;The Empire was already a relic but the liberal revolutions made it meet its end!;L'Empire était déjà une relique, mais les révolutions libérales l'ont fait atteindre à sa fin!;Das Reich war schon ein Relikt, aber die liberalen Revolutionen brachten es seinem Ende entgegen!;Imperium ju¿ prze¿ytkiem ale liberalne rewolucje sprawi³y, ze spe³niaj¹ swój cel!;¡El Imperio ya era una reliquia, pero las revoluciones liberales lo hicieron llegar a su fin!;L'Impero era già una reliquia, ma le rivoluzioni liberali ha fatto incontrare la sua fine!;A Birodalom már egy ereklye, hanem a liberális fordulat tette eleget a vége!;Øíše byla ji relikvií, ale liberální revoluce pøinesly její konec!;A Birodalom már egy ereklye, hanem a liberális fordulat tette eleget a vége!;Het Empire was al een relikwie, maar de liberale revoluties maakte het voldoen aan zijn einde!;O Império já era uma relíquia, mas as revoluções liberais fizeram com que ele atingisse seu fim!;Èìïåğèÿ áûëà óæå ğåëèêâèåé, íî ëèáåğàëüíûå ğåâîëşöèè ïğèâåëè ê åå çàâåğøåíèş!;Imperiumi oli jo jäänne mutta vapaiden kierrokset se täyttää sen pää!;x
EVTOPTA250002;A dream gone to waste...;Un rêve perdu...;Ein Traum verschwendete...;Sen poszed³ na marne...;Un sueño perdido...;Un sogno andato sprecato...;Egy álom ment veszendõbe...;Sen vyslouil...;Egy álom ment veszendõbe...;Een droom gegaan om te verspillen...;Um sonho perdido...;Ìå÷òà ïğîïàëà...;Unelma mennyt hukkaan...;x
EVTNAME250003;Centralization of the HRE;Centralisation du Saint Empire romain germanique;Zentralisierung des Heiligen Römischen Reiches;Centralizacja Œwiêtego Cesarstwa Rzymskiego;Centralización del Sacro Imperio Romano;La centralizzazione del Sacro Romano Impero;Központosítása Szent Római Birodalom;Centralizace HRE;Központosítása Szent Római Birodalom;Centralisatie van de Heilige Roomse Rijk;Centralização do Sacro Império Romano;Öåíòğàëèçàöèÿ ÑĞÈ;Keskittäminen Pyhällä roomalainen keisarikunnan;x
EVTDESC250003;Shall we join the Thousand Years Reich?;Devrions-nous nous joindre au Reich des Mille Ans?;Sollen wir dem Tausendjährigen Reich beitreten?;Powinniœmy przy³¹czyæ siê do tysiêcy lat Rzeszy?;¿Nos uniremos al Reich de los Mil Años?;Dobbiamo unirci al Reich di Mille Anni?;Csatlakozunk a Thousand Years Reich?;Máme se pøipojit k tisícileté øíši?;Csatlakozunk a Thousand Years Reich?;Zullen we lid worden van de Thousand Years Reich?;Vamos nos unir ao Reich dos Mil Anos?;Ïğèñîåäèíèòåñü ê Òûñÿ÷åëåòíåìó Ğåéõó?;Onko meidän liittyä tuhatvuotinen valtakunnan?;x
EVTOPTA250003;Gott erhalte unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte unser ¡Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte unser Kaiser!;Ãîòò åğõàëüòå èíñåğ Êàéñåğ!;Gott erhalte unser Kaiser!;x
EVTOPTB250003;We cast aside this ancient notion! We have our own glory.;Nous rejetons cette notion ancienne! Nous avons notre propre gloire.;Wir verwerfen diese alte Vorstellung! Wir haben unsere eigene Herrlichkeit.;Mamy odrzuci³ te staro¿ytna idee! Mamy w³asna chwale.;Desechamos esta noción antigua! Tenemos nuestra propia gloria.;Abbiamo gettato via questa antica nozione! Noi abbiamo la nostra gloria.;Mi öntött el ezt az õsi elképzelés! Megvan a saját dicsõségét.;Odkládáme tento starodávnı pojem stranou! Máme vlastní slávu.;Mi öntött el ezt az õsi elképzelés! Megvan a saját dicsõségét.;We werpen dit oude idee! We hebben onze eigen glorie.;Nós jogamos fora esta noção antiga! Temos a nossa própria glória.;Ìû îòáğîñèëè ıòî äğåâíåå ïîíÿòèå! Ó íàñ åñòü íàøà ñëàâà.;Me heitimme pois tämä vanha käsite! Meillä on oma kunniaa.;x
form_two_sicilies_title;Form the Kingdom of the Two Sicilies;Forme le Royaume des Deux Siciles;Form das Königreich der beiden Sizilien;Tworz¹c Królestwo Obojga Sycylii;Forma el Reino de las Dos Sicilias;Formare il Regno delle Due Sicilie;Formában a Két Szicília Királysága;Formovat království dvou Sicilies;Formában a Két Szicília Királysága;Vorm het Koninkrijk van Twee Sicilies;Forma o Reino das Duas Sicílias;Ôîğìèğîâàíèå Êîğîëåâñòâà äâóõ ñèöèëèé;Muoto kuningaskunta Kaksi Sisiliain;x
